Title,Authors,Year,Venue,Citations,Database,Model,Num_Images,Epochs,Batch_Size,Accuracy,Precision,Recall,F1_Score,IoU,AUC,Other_Metrics,URL
Integrating dual convolutional networks and BiLSTM for precision prediction of chronic myeloid leukemia from protein sequences.,"Hend Khalid Alkahtani, Ayman Qahmash",2026,Frontiers in genetics,,PubMed,LSTM,Not specified,Not specified,Not specified,97.5%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/41948604/
Flemboda artificial intelligence: hybrid fuzzy-convolutional neural network for efficient chromosome abnormality classification,"William Li, ·. M. Karpagam, K. Kaviarasu, K. Kiruthika, ·. S. Sarumathi et al.",2026,Zeitschrift für Induktive Abstammungs- und Vererbungslehre,0,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/e29fc1d3051dbe84ebf5ee050b1c7c9aedceec73
Down Syndrome Image Classification Project Using Deep Learning,"Kammari Samiya, Nese Indu, Bantupalli Nagalakshmi, M. Himasree, Yalama Poornima",2026,2026 IEEE Madhya Pradesh Section Conference (MPCON),0,Semantic Scholar,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/424850c1f8ecec8be10554f1efb3df57ee7024b5
Development of an Artificial Intelligence-Based Chromosome Interpretation System for Amniotic Fluid Karyotyping.,"Kuan-Han Wu, Hsuan-Wei Huang, Chia Yun Lin, Hsu-Tung Huang, Tzuo-Yau Fan et al.",2026,International journal of molecular sciences,,PubMed,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/41751883/
Deep Learning-Enabled Multimodal AFM Image Enhancement: Correlation Analysis between Surface Topography and Multiphysics Fields.,"Liguo Tian, Haiyue Yu, Lanjiao Liu, Yuxi Huang, Bowei Wang et al.",2026,Analytical chemistry,,PubMed,Xception,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/41961746/
"Automated karyotyping and structural anomaly detection through a hybrid multi-stage deep learning framework integrating chromosome detection, pairwise classification, and autoencoder-based analysis.","Carolina Rosas-Alatriste, Noé Oswaldo Rodríguez-Rodríguez, Amadeo José Argüelles-Cruz, Alejandro Rosas-Cabral, Cornelio Yáñez-Márquez et al.",2026,Scientific reports,,PubMed,"ResNet-50, ResNet, YOLO, Autoencoder",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/42151364/
UCRD-Net: End-to-End Chromosome Segmentation Based on Uncertainty Correction and Region Decomposition,,2025,Journal of Artificial Intelligence &amp; Control Systems,1,Semantic Scholar,"Mask R-CNN, R-CNN",", chromosomes",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/d57c3c602e57b1c29f7d5d59ce7ecc6659d9c077
Supra-second tracking and live-cell karyotyping reveal principles of mitotic chromosome dynamics.,"Rumen Stamatov, Sonya Uzunova, Yoana Kicheva, Maria Karaboeva, Tavian Blagoev et al.",2025,Nature cell biology,,PubMed,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/40185948/
"MetaChrome: An Open-Source, User-Friendly Tool for Automated Metaphase Chromosome Analysis","M. A. Sagar, Yamini Dalal, Gianluca Pegoraro, Ganesan Arunkumar",2025,bioRxiv,0,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/d75ad2678cddaa99e173982c9d011908004da18b
Exploring deep learning and hybrid approaches in molecular subgrouping and prognostic-related genetic signatures of medulloblastoma.,"Yanong Li, Hailong Liu, Yawei Liu, Jane Li, Hiro Hiromichi Suzuki et al.",2025,Chinese neurosurgical journal,,PubMed,CNN,Not specified,Not specified,Not specified,77.50%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/40954484/
